theorem	proof_outcome	axioms	evidence
CardanoKeri.Cage.AuthMode.delegated.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Cage.AuthMode.ofNat_ctorIdx	PROVED	none	axioms.log
CardanoKeri.Cage.AuthMode.ownerAndHook.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Cage.AuthMode.ownerKeyed.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Cage.Plugin.mk.inj	PROVED	none	axioms.log
CardanoKeri.Cage.Plugin.mk.injEq	PROVED	propext	axioms.log
CardanoKeri.Cage.Plugin.mk.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Cage.Plugin.registry.eq_1	PROVED	none	axioms.log
CardanoKeri.Cage.TxAuth.mk.inj	PROVED	none	axioms.log
CardanoKeri.Cage.TxAuth.mk.injEq	PROVED	propext	axioms.log
CardanoKeri.Cage.TxAuth.mk.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Cage.ValueMode.delegatedRouting.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Cage.ValueMode.ofNat_ctorIdx	PROVED	none	axioms.log
CardanoKeri.Cage.ValueMode.refundAll.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Cage.applyBatch.eq_1	PROVED	none	axioms.log
CardanoKeri.Cage.applyBatch.eq_2	PROVED	none	axioms.log
CardanoKeri.Cage.applyBatch_delegated_eq	PROVED	propext	axioms.log
CardanoKeri.Cage.applyBatch_delegated_eq._simp_1_13	PROVED	propext	axioms.log
CardanoKeri.Cage.authorized.eq_1	PROVED	none	axioms.log
CardanoKeri.Cage.authorized.eq_2	PROVED	none	axioms.log
CardanoKeri.Cage.authorized.eq_3	PROVED	none	axioms.log
CardanoKeri.Cage.bypassed.eq_1	PROVED	none	axioms.log
CardanoKeri.Cage.bypassed_breaks_inv	PROVED	propext	axioms.log
CardanoKeri.Cage.delegated_is_registry	PROVED	propext	axioms.log
CardanoKeri.Cage.delegated_permissionless	PROVED	propext	axioms.log
CardanoKeri.Cage.delegated_pins_plugin	PROVED	propext	axioms.log
CardanoKeri.Cage.instDecidableEqAuthMode._proof_1	PROVED	none	axioms.log
CardanoKeri.Cage.instDecidableEqAuthMode._proof_2	PROVED	none	axioms.log
CardanoKeri.Cage.instDecidableEqTxAuth.decEq._proof_1	PROVED	none	axioms.log
CardanoKeri.Cage.instDecidableEqTxAuth.decEq._proof_2	PROVED	none	axioms.log
CardanoKeri.Cage.instDecidableEqTxAuth.decEq._proof_3	PROVED	none	axioms.log
CardanoKeri.Cage.instDecidableEqValueMode._proof_1	PROVED	none	axioms.log
CardanoKeri.Cage.instDecidableEqValueMode._proof_2	PROVED	none	axioms.log
CardanoKeri.Cage.ownerAndHook_needs_owner	PROVED	propext	axioms.log
CardanoKeri.Cage.ownerAndHook_trivial_breaks_inv	PROVED	propext	axioms.log
CardanoKeri.Cage.ownerKeyed_needs_owner	PROVED	propext	axioms.log
CardanoKeri.Cage.owner_bypass_breaks_inv	PROVED	propext	axioms.log
CardanoKeri.Cage.owner_swaps_plugin	PROVED	none	axioms.log
CardanoKeri.Cage.refundAll_fold_locks_nothing	PROVED	propext	axioms.log
CardanoKeri.Cage.refundAll_never_locks	PROVED	propext	axioms.log
CardanoKeri.Cage.rejectAllowed.eq_1	PROVED	none	axioms.log
CardanoKeri.Cage.routeValue.eq_1	PROVED	none	axioms.log
CardanoKeri.Cage.routeValue.eq_2	PROVED	none	axioms.log
CardanoKeri.Cage.runBody.eq_1	PROVED	none	axioms.log
CardanoKeri.Cage.stepFn.eq_1	PROVED	none	axioms.log
CardanoKeri.Cage.stepFn.eq_2	PROVED	none	axioms.log
CardanoKeri.Cage.wp._proof_1	PROVED	none	axioms.log
CardanoKeri.Cage.wp._proof_2	PROVED	none	axioms.log
CardanoKeri.Cage.wp._proof_3	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Action.actor.eq_1	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Action.actor.eq_2	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Action.actor.eq_3	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Action.actor.eq_4	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Action.actor.eq_5	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Action.actor.eq_6	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Action.actor.eq_7	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Action.actor.eq_8	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Action.close.inj	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Action.close.injEq	PROVED	propext	axioms.log
CardanoKeri.Checkpoint.Action.close.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Action.convict.inj	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Action.convict.injEq	PROVED	propext	axioms.log
CardanoKeri.Checkpoint.Action.convict.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Action.freeze.inj	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Action.freeze.injEq	PROVED	propext	axioms.log
CardanoKeri.Checkpoint.Action.freeze.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Action.poison.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Action.register.inj	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Action.register.injEq	PROVED	propext	axioms.log
CardanoKeri.Checkpoint.Action.register.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Action.reopen.inj	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Action.reopen.injEq	PROVED	propext	axioms.log
CardanoKeri.Checkpoint.Action.reopen.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Action.rotate.inj	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Action.rotate.injEq	PROVED	propext	axioms.log
CardanoKeri.Checkpoint.Action.rotate.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Action.topUp.inj	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Action.topUp.injEq	PROVED	propext	axioms.log
CardanoKeri.Checkpoint.Action.topUp.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Action.touchesLeaf.eq_1	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Action.touchesLeaf.eq_2	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Action.touchesLeaf.eq_3	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Action.touchesLeaf.eq_4	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Action.touchesLeaf.eq_5	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Actor.anyone.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Actor.currentQuorum.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Actor.nextKeys.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Actor.ofNat_ctorIdx	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Actor.proof.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Checkpoint.BondOp.deposit.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Checkpoint.BondOp.intent.eq_1	PROVED	none	axioms.log
CardanoKeri.Checkpoint.BondOp.intent.eq_2	PROVED	none	axioms.log
CardanoKeri.Checkpoint.BondOp.keep.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Checkpoint.BondOp.ofNat_ctorIdx	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Env.intentOk.eq_1	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Env.intentOk.eq_2	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Env.mk.inj	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Env.mk.injEq	PROVED	propext	axioms.log
CardanoKeri.Checkpoint.Env.mk.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Flow.mk.inj	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Flow.mk.injEq	PROVED	propext	axioms.log
CardanoKeri.Checkpoint.Flow.mk.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Intent.close.inj	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Intent.close.injEq	PROVED	propext	axioms.log
CardanoKeri.Checkpoint.Intent.close.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Intent.deposit.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Intent.keep.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Checkpoint.KeyState.mk.inj	PROVED	none	axioms.log
CardanoKeri.Checkpoint.KeyState.mk.injEq	PROVED	propext	axioms.log
CardanoKeri.Checkpoint.KeyState.mk.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Leaf.absent.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Leaf.active.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Leaf.convicted.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Leaf.parked.inj	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Leaf.parked.injEq	PROVED	propext	axioms.log
CardanoKeri.Checkpoint.Leaf.parked.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Live.bHeld.eq_1	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Live.mk.inj	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Live.mk.injEq	PROVED	propext	axioms.log
CardanoKeri.Checkpoint.Live.mk.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Live.rotated.eq_1	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Params.hB	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Params.hD	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Params.mk.inj	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Params.mk.injEq	PROVED	propext	axioms.log
CardanoKeri.Checkpoint.Params.mk.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Params.premium.eq_1	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Payment.mk.inj	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Payment.mk.injEq	PROVED	propext	axioms.log
CardanoKeri.Checkpoint.Payment.mk.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Payment?.b.eq_1	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Payment?.b.eq_2	PROVED	none	axioms.log
CardanoKeri.Checkpoint.Payment?.dreg.eq_1	PROVED	none	axioms.log
