# label	domain	aid	sequence	prior	said	order	expected_blake2b_256	class
prior_absent_code_E	cardano-keri/event-key/v1	EAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA	0	absent	EBERERERERERERERERERERERERERERERERERERERERER	0,1,2,3,4	078af063f314bbb688164d97101d4e6609ca00a2391bfacd27b0c6f25e29a39a	accepted
prior_present_code_D	cardano-keri/event-key/v1	DAABAgMEBQYHCAkKCwwNDg8QERITFBUWFxgZGhscHR4f	16	EDMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMz	EBERERERERERERERERERERERERERERERERERERERERER	0,1,2,3,4	60fb93d502befb1599746cad0e3df41ec70bfef40f7596963fa19352c3512595	accepted
rival_two	cardano-keri/event-key/v1	DAABAgMEBQYHCAkKCwwNDg8QERITFBUWFxgZGhscHR4f	16	EDMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMz	ECIiIiIiIiIiIiIiIiIiIiIiIiIiIiIiIiIiIiIiIiIi	0,1,2,3,4	2b0689b3df28e3dae63c2f1cc6677dad2ed3b554de2c455b2d74dd79c12ef973	accepted
mut_i	cardano-keri/event-key/v1	DAABAgMEBQYHCAkKCwwNDg8QERITFBUWFxgZGhscHR40	16	EDMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMz	EBERERERERERERERERERERERERERERERERERERERERER	0,1,2,3,4	198486f0a8a5613d782cb63aacdbcb81fce2f2a6caff8ebf4f14e4ebed27db56	mutation
mut_s	cardano-keri/event-key/v1	DAABAgMEBQYHCAkKCwwNDg8QERITFBUWFxgZGhscHR4f	17	EDMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMz	EBERERERERERERERERERERERERERERERERERERERERER	0,1,2,3,4	f9e04b38a9aa24c246ae4b2795130fbbae928ff1ba88e66510f7829a0f98931c	mutation
mut_p_tag	cardano-keri/event-key/v1	DAABAgMEBQYHCAkKCwwNDg8QERITFBUWFxgZGhscHR4f	16	absent	EBERERERERERERERERERERERERERERERERERERERERER	0,1,2,3,4	c8b8f17402eec89f8767f932980ea624575e6b5ab3b5dd69d92f4ad716f70951	mutation
mut_p	cardano-keri/event-key/v1	DAABAgMEBQYHCAkKCwwNDg8QERITFBUWFxgZGhscHR4f	16	EDMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzM0	EBERERERERERERERERERERERERERERERERERERERERER	0,1,2,3,4	452d2d220e0668ff4d7b1d82f84a3c26c09b2337e49e1c4066505d149c736fe7	mutation
mut_d	cardano-keri/event-key/v1	DAABAgMEBQYHCAkKCwwNDg8QERITFBUWFxgZGhscHR4f	16	EDMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMz	ECIiIiIiIiIiIiIiIiIiIiIiIiIiIiIiIiIiIiIiIiIi	0,1,2,3,4	2b0689b3df28e3dae63c2f1cc6677dad2ed3b554de2c455b2d74dd79c12ef973	mutation
mut_domain	cardano-keri/event-key/v2	DAABAgMEBQYHCAkKCwwNDg8QERITFBUWFxgZGhscHR4f	16	EDMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMz	EBERERERERERERERERERERERERERERERERERERERERER	0,1,2,3,4	d202f594249573077755e954c740adb5b5016ffa39efe76d8037c6fc6ac1f7a7	mutation
mut_order	cardano-keri/event-key/v1	DAABAgMEBQYHCAkKCwwNDg8QERITFBUWFxgZGhscHR4f	16	EDMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMzMz	EBERERERERERERERERERERERERERERERERERERERERER	0,2,1,3,4	711d51129b14e47290d075a5661092ccff78e0f1d94a8f2bfb1f3e78abf3dea2	mutation
